,15,15,15,15,17,17,17,17
,fusemix,kpod,singleimput_knn,singleimput_mice,fusemix,kpod,singleimput_knn,singleimput_mice
sh,0.595,0.574,0.639,0.637,0.4,0.342,0.394,0.402
ch,884.349,582.066,936.667,914.613,672.888,300.245,804.564,567.948
db,0.813,0.896,0.784,0.79,0.713,0.575,0.659,0.773
ari,0.754,0.602,0.883,0.877,0.898,0.12,0.811,0.951
ami,0.7,0.548,0.797,0.786,0.819,0.146,0.713,0.903
vm,0.7,0.548,0.798,0.787,0.819,0.148,0.714,0.903
cs,0.683,0.603,0.795,0.79,0.821,0.288,0.723,0.902
known_ari,0.817,0.501,0.79,0.764,0.781,0.094,0.73,0.719
known_ami,0.743,0.46,0.685,0.661,0.685,0.134,0.643,0.603
known_vm,0.744,0.461,0.685,0.661,0.685,0.136,0.643,0.604
known_cs,0.738,0.518,0.696,0.677,0.696,0.27,0.662,0.612
